대분류,중분류,Custom,EN,소분류,1회제공량(g),칼로리(kcal),kcal per g,folder_name,class,탄수화물,단백질,지방,당 (총당류),,,,,
밥류,쌀밥류,밥류,rice,쌀밥,210,313,1.49,01011001,01,70,5,1.6,0,,,,,
밥류,잡곡밥류,밥류,rice,기타잡곡밥,210,300,1.43,01012001,01,58.65,10.59,1.74,0.64,,,,,
밥류,잡곡밥류,밥류,rice,콩밥,210,316,1.5,01012002,01,68.59,9.06,2.23,0,,,,,
밥류,잡곡밥류,밥류,rice,보리밥,210,312,1.49,01012003,01,77.22,6.09,0.5,5.4,,,,,
밥류,잡곡밥류,밥류,rice,돌솥밥,210,380,1.81,01012004,01,75.73,7.21,6.02,1.33,,,밥류,"덮밥,국밥류","김밥,초밥류"
밥류,잡곡밥류,밥류,rice,현미밥,210,275,1.31,01012005,01,81.7,6.52,1,0,,,면류,국류,만두류
밥류,잡곡밥류,밥류,rice,흑미밥,210,330,1.57,01012006,01,84.15,6.86,0.23,0.04,,,어패류,육류,채소류
밥류,채소밥류,밥류,rice,감자밥,210,308,1.47,01013001,01,68.6,5.68,0.08,0,,,튀김류,"나물,무침류",김치류
밥류,채소밥류,밥류,rice,곤드레밥,262,415,1.58,01013002,01,81.02,6.75,1.5,0,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,김치볶음밥,300,525,1.75,01014001,01,47.21,15.96,27.55,41.68,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,주먹밥,100,207,2.07,01014002,01,34.73,4.76,2.18,0.23,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,볶음밥,350,640,1.83,01014003,01,118.88,19.47,9.67,0,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,일반비빔밥,450,637,1.42,01014004,01,84.76,30.89,19.44,0.22,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,전주비빔밥,260,350,1.35,01014005,01,57.03,14.21,12.71,10.57,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,삼선볶음밥,400,686,1.72,01014006,01,86.76,26.24,26.46,1.58,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,새우볶음밥,300,480,1.6,01014007,01,84.54,23.33,22.7,2.63,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,알밥,400,392,0.98,01014008,01,63.02,18.92,20.44,9.21,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,산채비빔밥,300,391,1.3,01014009,01,60.15,8.93,11.93,2.18,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,오므라이스,400,380,0.95,01014010,01,82.14,25.98,28.91,12.76,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,육회비빔밥,400,531,1.33,01014011,01,91.68,25.55,13.43,17.81,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,해물볶음밥,300,508,1.69,01014012,01,67.84,18.83,20.25,0.92,,,,,
밥류,"비빔밥,볶음밥류",밥류,rice,열무비빔밥,300,395,1.32,01014013,01,60.15,8.93,11.93,2.18,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,불고기덮밥,300,440,1.47,01015002,01,80.88,19.79,15.94,0.21,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,소고기국밥,300,285,0.95,01015003,01,18.26,9.34,3.47,1.2,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,송이덮밥,600,581,0.97,01015004,01,95.6,18.21,14.06,2.27,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,오징어덮밥,500,667,1.33,01015005,01,109.72,35.9,10.06,3.29,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,자장밥,300,423,1.41,01015006,01,46.7,12.82,14.16,0.1,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,잡채밥,400,673,1.68,01015007,01,103.16,16.08,13.68,0.22,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,잡탕밥,400,518,1.3,01015008,01,55.97,23.53,10.74,0.26,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,장어덮밥,400,626,1.57,01015009,01,97.35,30.09,22.99,5.59,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,제육덮밥,500,779,1.56,01015010,01,84.28,47.13,53.86,9.89,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,짬뽕밥,300,482,1.61,01015011,01,34.95,9.6,4.19,4.01,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,순대국밥,300,360,1.2,01015012,01,31.15,9.52,6.85,0.5,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,카레라이스,400,544,1.36,01015013,01,82.94,12.45,5.61,0.65,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,전주콩나물국밥,500,445,0.89,01015014,01,54.63,7.27,1.21,0,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,해물덮밥,400,561,1.4,01015015,01,57.4,24.02,3.09,0.68,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,회덮밥,400,465,1.16,01015016,01,82.64,24.17,13.24,8.74,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,소머리국밥,300,487,1.62,01015017,01,8.11,4.75,2.26,0,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,돼지국밥,300,307,1.02,01015018,01,18.68,16.6,9.65,0,,,,,
밥류,"덮밥,국밥류","덮밥,국밥류",deopbab,하이라이스,300,477,1.59,01015019,01,64.03,12.06,3.4,0,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,김치김밥,300,413,1.38,01016001,01,57.51,12.9,12.09,0.88,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,농어초밥,250,396,1.58,01016002,01,78.75,17.43,1.34,13.01,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,문어초밥,250,392,1.57,01016003,01,81.78,14.61,0.74,13.38,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,새우초밥,140,229,1.64,01016004,01,43.92,9.41,0.42,6.53,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,새우튀김롤,300,606.5,2.02,01016005,01,96.28,14.47,18.17,,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,샐러드김밥,250,405.95,1.62,01016006,01,61.45,9.62,13.52,3.41,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,광어초밥,250,378.15,1.51,01016007,01,64.62,22.56,3.27,6.42,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,소고기김밥,300,477,1.59,01016008,01,77.33,19.39,16.68,0.08,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,갈비삼각김밥,100,161,1.61,01016009,01,32.55,4,1.67,0.17,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,연어롤,300,510,1.7,01016010,01,74.32,18.57,15.4,8.47,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,연어초밥,250,447.32,1.79,01016011,01,71.04,18.88,9.74,0,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,유부초밥,300,539,1.8,01016012,01,89.45,17.34,17.3,0,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,장어초밥,250,486.26,1.95,01016013,01,80.68,16.52,10.83,13.67,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,참치김밥,300,496,1.65,01016014,01,60.78,21,21.66,2.12,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,참치마요삼각김밥,110,219.99,2,01016015,01,27.99,6.52,9.03,0,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,치즈김밥,300,545,1.82,01016017,01,66.3,18.73,21.1,0.63,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,캘리포니아롤,125,158,1.26,01016018,01,37.18,5.14,3.77,3.71,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,한치초밥,250,374,1.5,01016019,01,77.92,13.71,0.85,13.13,,,,,
밥류,김밥/초밥,"김밥,초밥류",sushi,일반김밥,230,322.56,1.4,01016020,01,45.95,11.14,10.47,0,,,,,
"면,만두류",면류,면류,noodle,간자장,500,625.08,1.25,02011001,02,103.25,17.18,16.95,9.35,,,,,
"면,만두류",면류,면류,noodle,굴짬뽕,900,680.67,0.76,02011002,02,115.69,32.87,9.61,1.7,,,,,
"면,만두류",면류,면류,noodle,기스면,1000,606.93,0.61,02011003,02,89.79,37.82,10.72,0.5,,,,,
"면,만두류",면류,면류,noodle,김치라면,650,552,0.85,02011004,02,86.2,13.8,16.9,1.2,,,,,
"면,만두류",면류,면류,noodle,김치우동,800,500.18,0.63,02011005,02,99.14,15.55,4.6,2.13,,,,,
